1.1.a.1: Survey Date,Region P-CODE,Zone P-CODE,Woreda P-CODE,1.4.a.1: Site Open Date,1.5.e.1: Displacement Reason,1.5.b.1: Region (Largest IDP group) ,1.5.b.2: Zone (Largest IDP group),1.5.b.3: Woreda (Largest IDP group),1.5.c.1: Region (2nd largest IDP group),1.5.c.2: Zone (2nd largest IDP group),1.5.c.3: Woreda (2nd largest IDP group),2.1.a.1: Total HHs,2.1.b.1: Total Individuals,2.3.c.1: Date of arrival of first IDP group,2.3.c.2: Is date known for arrival of last IDP group,2.3.c.2: Date of arrival of last IDP group,2.3.b.4: Have IDPs been displaced previously?,2.3.j.1: IDPs leaving place of displacement?,2.3.e.7: Are there factors which are preventing the largest IDP group from returning?,2.3.e.7: Accessibility,2.3.e.7: Lack of food,2.3.e.7: House damaged/destroyed,2.3.e.7: Lack of safety/security,2.3.e.7: No livelihood,2.3.e.7: Basic infrastructures damaged/flooded,2.3.l.1: What durable solution do majority of IDPs perfer at the site?,2.3.l.2: What support do majority of the IDPs need to return or locally reintegrate?,2.3.l.2: Livelihood,2.3.l.2: Land/Resources,2.3.l.2: ID/Documentation,2.3.l.2: Access to services,2.3.l.2: Safety & Security,2.3.l.2: Livestock/Restocking
14 November 2017,ET14,ET1401,ET140102,22-09-2017,Conflict,ET05,ET0502,ET040210,,,,500,2500,22-09-2017,Yes,22-09-2017,Yes,No,accessibility lack of food house damaged destroyed lack of security safety no livelihood basic infrastructures damage,Yes,Yes,Yes,Yes,Yes,Yes,Reintegration,livelihood id documentation access services,Yes,No,Yes,Yes,No,No
13 November 2017,ET02,ET0203,ET020301,30-09-2015,Flash Flood,ET02,ET0203,ET020301,Afar,Gabi (Zone 3),Amibara,172,1031,30-09-2015,Yes,25-07-2017,No,No,no livelihood basic infrastructures damage,No,No,No,No,Yes,Yes,Reintegration,livelihood id documentation,Yes,No,Yes,No,No,No
11 November 2017,ET02,ET0202,ET020206,10-06-2016,Flash Flood,ET02,ET0202,ET020206,,,,73,439,10-06-2016,Yes,12-06-2016,No,No,accessibility house damaged destroyed,Yes,No,Yes,No,No,No,Reintegration,livelihood access services,Yes,No,No,Yes,No,No
07 November 2017,ET02,ET0201,ET020102,20-01-2015,Drought,ET02,ET0201,ET020102,Afar,Awsi (Zone 1),Elidar,95,570,20-01-2015,Yes,05-02-2015,No,No,accessibility lack of food no livelihood,Yes,Yes,No,No,Yes,No,Reintegration,livelihood access services livestock restocking,Yes,No,No,Yes,No,Yes
06 November 2017,ET02,ET0202,ET0202071,21-03-2014,Other,ET02,ET0202,ET020208,,,,360,2160,21-03-2014,Yes,06-02-2017,No,No,accessibility lack of food no livelihood,Yes,Yes,No,No,Yes,No,Reintegration,livelihood access services livestock restocking,Yes,No,No,Yes,No,Yes
06 November 2017,ET02,ET0202,ET0202071,21-04-2014,Drought,ET02,ET0202,ET020208,,,,31,187,21-04-2014,Yes,09-04-2017,No,No,accessibility lack of food,Yes,Yes,No,No,No,No,Reintegration,livelihood access services,Yes,No,No,Yes,No,No
16 November 2017,ET02,ET0202,ET020204,15-02-2016,Drought,ET02,ET0202,ET020204,,,,150,900,15-02-2016,Yes,05-03-2016,No,No,lack of food no livelihood,No,Yes,No,No,Yes,No,Reintegration,Livelihood,Yes,No,No,No,No,No
04 November 2017,ET02,ET0201,ET020104,26-10-2015,Seasonal Flood,ET02,ET0201,ET020104,,,,400,2401,26-10-2015,Yes,05-11-2015,No,No,accessibility lack of food house damaged destroyed basic infrastructures damage,Yes,Yes,Yes,No,No,Yes,Reintegration,livelihood land resources access services,Yes,Yes,No,Yes,No,No
04 November 2017,ET02,ET0201,ET020104,20-05-2016,Seasonal Flood,ET02,ET0201,ET020104,,,,400,2402,20-05-2016,Yes,20-08-2016,No,No,accessibility house damaged destroyed basic infrastructures damage,Yes,No,Yes,No,No,Yes,Reintegration,livelihood land resources access services livestock restocking,Yes,Yes,No,Yes,No,Yes
24 November 2017,ET02,ET0205,ET020503,02-09-2011,Conflict,ET03,ET04,ET031005,,,,86,517,02-09-2011,Yes,02-09-2011,No,No,Lack of safety/security,No,No,No,Yes,No,No,Return,Livelihood,Yes,No,No,No,No,No
25 November 2017,ET02,ET0205,ET020504,01-02-2016,Drought,ET02,ET0201,ET020106,,,,47,280,01-02-2016,Yes,21-02-2016,No,No,accessibility lack of food,Yes,Yes,No,No,No,No,Reintegration,livelihood access services,Yes,No,No,Yes,No,No
12 November 2017,ET02,ET0203,ET020302,01-07-2016,Flash Flood,ET02,ET0203,ET020302,,,,365,2189,01-07-2016,Yes,04-08-2016,No,No,no livelihood basic infrastructures damage,No,No,No,No,Yes,Yes,Reintegration,livelihood id documentation livestock restocking,Yes,No,Yes,No,No,Yes
10 November 2017,ET02,ET0201,ET020105,23-04-2016,Drought,ET02,ET0201,ET020105,,,,230,1380,23-04-2016,Yes,05-09-2016,No,No,accessibility lack of food no livelihood,Yes,Yes,No,No,Yes,No,Reintegration,livelihood access services livestock restocking,Yes,No,No,Yes,No,Yes
