Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Somalia,SOM,2017,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,676500000
Somalia,SOM,2017,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,5.792051179
Somalia,SOM,2017,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,1735000000
Somalia,SOM,2017,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,14.85470628
Somalia,SOM,2017,General government final consumption expenditure (current US$),NE.CON.GOVT.CD,817404340
Somalia,SOM,2017,General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,2.22E+13
Somalia,SOM,2017,General government final consumption expenditure (constant 2015 US$),NE.CON.GOVT.KD,680647925.1
Somalia,SOM,2017,General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG,3.217878788
Somalia,SOM,2017,General government final consumption expenditure (constant LCU),NE.CON.GOVT.KN,2.10E+13
Somalia,SOM,2017,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,6.998444599
Somalia,SOM,2017,Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,14768871580
Somalia,SOM,2017,Households and NPISHs Final consumption expenditure (current LCU),NE.CON.PRVT.CN,4.02E+14
Somalia,SOM,2017,Households and NPISHs final consumption expenditure: linked series (current LCU),NE.CON.PRVT.CN.AD,4.02E+14
Somalia,SOM,2017,Households and NPISHs Final consumption expenditure (annual % growth),NE.CON.PRVT.KD.ZG,4.101318366
Somalia,SOM,2017,Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,3.73E+14
Somalia,SOM,2017,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)",NE.CON.PRVT.PP.KD,33775547513
Somalia,SOM,2017,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,126.4479823
Somalia,SOM,2017,Final consumption expenditure (current US$),NE.CON.TOTL.CD,15586275920
Somalia,SOM,2017,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,4.24E+14
Somalia,SOM,2017,Final consumption expenditure (constant 2015 US$),NE.CON.TOTL.KD,13034897698
Somalia,SOM,2017,Final consumption expenditure (annual % growth),NE.CON.TOTL.KD.ZG,4.053759628
Somalia,SOM,2017,Final consumption expenditure (constant LCU),NE.CON.TOTL.KN,3.94E+14
Somalia,SOM,2017,Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,133.4464269
Somalia,SOM,2017,Exports of goods and services (current US$),NE.EXP.GNFS.CD,2089548840
Somalia,SOM,2017,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,5.68E+13
Somalia,SOM,2017,Exports of goods and services (constant 2015 US$),NE.EXP.GNFS.KD,1431351138
Somalia,SOM,2017,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,5.946200111
Somalia,SOM,2017,Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,5.13E+13
Somalia,SOM,2017,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,17.89027912
Somalia,SOM,2017,Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,2960634720
Somalia,SOM,2017,Gross fixed capital formation (current LCU),NE.GDI.FTOT.CN,8.05E+13
Somalia,SOM,2017,Gross fixed capital formation (constant 2015 US$),NE.GDI.FTOT.KD,2165483912
Somalia,SOM,2017,Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,3.78308003
Somalia,SOM,2017,Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN,7.52E+13
Somalia,SOM,2017,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,25.34833381
Somalia,SOM,2017,Imports of goods and services (current US$),NE.IMP.GNFS.CD,8956659370
Somalia,SOM,2017,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,2.44E+14
Somalia,SOM,2017,Imports of goods and services (constant 2015 US$),NE.IMP.GNFS.KD,7524416655
Somalia,SOM,2017,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,5.592589954
Somalia,SOM,2017,Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,2.32E+14
Somalia,SOM,2017,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,76.68503986
Somalia,SOM,2017,External balance on goods and services (current US$),NE.RSB.GNFS.CD,-6867110530
Somalia,SOM,2017,External balance on goods and services (current LCU),NE.RSB.GNFS.CN,-1.87E+14
Somalia,SOM,2017,External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,-1.81E+14
Somalia,SOM,2017,External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,-58.79476074
Somalia,SOM,2017,Trade (% of GDP),NE.TRD.GNFS.ZS,94.57531898
Somalia,SOM,2017,Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,5.41E+13
Somalia,SOM,2017,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,10.21466912
Somalia,SOM,2017,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,110.2098163
Somalia,SOM,2017,GDP (current US$),NY.GDP.MKTP.CD,11679800110
Somalia,SOM,2017,GDP (current LCU),NY.GDP.MKTP.CN,3.18E+14
Somalia,SOM,2017,GDP: linked series (current LCU),NY.GDP.MKTP.CN.AD,3.18E+14
Somalia,SOM,2017,GDP (constant 2015 US$),NY.GDP.MKTP.KD,9236430683
Somalia,SOM,2017,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.102961996
Somalia,SOM,2017,GDP (constant LCU),NY.GDP.MKTP.KN,2.88E+14
Somalia,SOM,2017,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,29234137744
Somalia,SOM,2017,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,26350671686
Somalia,SOM,2017,GDP per capita (current US$),NY.GDP.PCAP.CD,643.7500288
Somalia,SOM,2017,GDP per capita (current LCU),NY.GDP.PCAP.CN,17510657.26
Somalia,SOM,2017,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,509.0799896
Somalia,SOM,2017,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.000975996
Somalia,SOM,2017,GDP per capita (constant LCU),NY.GDP.PCAP.KN,15888473.32
Somalia,SOM,2017,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1611.284169
Somalia,SOM,2017,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,1452.357532
Somalia,SOM,2017,Gross domestic savings (current US$),NY.GDS.TOTL.CD,-3906475810
Somalia,SOM,2017,Gross domestic savings (current LCU),NY.GDS.TOTL.CN,-1.06E+14
