Survey_Date,Zone_P_CODE,Woreda_P_CODE,Site_Open_Date,Displacement_Reason,Origin_Region,Origin_Zone,Origin_Woreda,Second_Origin_Region,Second_Origin_Zone,Second_Origin_Woreda,Total_Households,Total_Individuals,First_Arrival_Date,Last_Arrival_Known,Last_Arrival_Date,Previously_Displaced,Currently_Leaving,Has_Prevention_Factors,Prevention_Accessibility,Prevention_Food,Prevention_Housing,Prevention_Security,Prevention_Livelihood,Prevention_Infrastructure,Support_Needs,Need_Livelihood,Need_Land,Need_Documentation,Need_Services,Need_Security,Need_Livestock,Displacement_Month,Has_Different_Second_Origin,Displacement_Duration,Origin_Location,Current_Location,Total_Prevention_Factors,Total_Support_Needs,Is_Winter_Migration,Region_Change,Prevention_Factor_Ratio,Support_Need_Ratio,Displacement_Season_Fall,Displacement_Season_Spring,Displacement_Season_Summer,Displacement_Season_Winter,Preferred_Solution_Reintegration,Preferred_Solution_Relocation,Preferred_Solution_Return,Region_P_CODE_ET02,Region_P_CODE_ET03,Region_P_CODE_ET04,Region_P_CODE_ET05,Household_Size_Category_Very Small,Household_Size_Category_Small,Household_Size_Category_Medium,Household_Size_Category_Large,Household_Size_Category_Very Large,year,month,household_size,fdi_pct_gdp,gdp_usd,gdp_per_capita_usd,remittances_pct_gdp,trade_pct_gdp,adult_literacy_rate,youth_literacy_rate,primary_enrollment,secondary_enrollment,regional_weight,avg_household_size,displacement_days,is_seasonal_migration,migration_distance_category,gdp_per_household,gdp_per_individual,trade_impact,economic_vulnerability,remittance_impact,education_access_index,literacy_impact,education_vulnerability,Prevention_Accessibility_binary,Prevention_Food_binary,Prevention_Housing_binary,Prevention_Security_binary,Prevention_Livelihood_binary,Prevention_Infrastructure_binary,total_prevention_categories,support_needs_severity,protection_vulnerability,site_operation_days,days_since_last_arrival,household_arrival_rate,survey_month,is_dry_season,same_zone,same_woreda,has_secondary_movement,idp_density,relative_household_size,basic_needs_score,livelihood_vulnerability,documentation_service_gap,compound_vulnerability,prevention_diversity,support_network_strength,settlement_potential,overall_vulnerability,long_term_displacement_risk
2017-11-07,ET0201,ET020102,2015-01-20,Drought,ET02,ET0201,ET020102,Afar,Awsi (Zone 1),Elidar,95,570,2015-01-20,0.1386750490563072,2015-05-02,-0.1647172818672541,-0.2271283812897489,accessibility lack of food no livelihood,1.2442173938170624,0.2271283812897488,-1.0345590848279278,-0.3505443708465497,0.3008903112828133,-0.277913246099792,livelihood access services livestock restocking,0.1237968921180345,-1.9318754766140744,-0.5642764926868786,0.5410017808004591,-0.3298281535567591,0.3771490147280578,1,0.0,102.0,ET02_ET0201_ET020102,ET02_ET0201_ET020102,0.0428616251639721,-0.8077028200332839,1.2949006435891817,0.0,0.0428616251639715,-0.8077028200332839,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,2017,11,6.0,4.74948196678,11679800110.0,527.875023616,12.180859149600002,77.55176156360001,44.28,58.220000000000006,17.3826305426,2.7009241106200004,0.8200000000000001,6.0,1022,1,,122945264.31578948,20490877.38596491,44.204504091252005,0.04245047444647912,6.943089715272001,10.041777326610001,33.1854,0.7827132135531506,1,1,1,1,1,1,6,6,0.4999999999999999,1022,920,0.09295499021526418,11,0,1,1,1,3716,1.0111693534327457,1.0,1.0,1.0,1.0,1.0,0.0,0.41285848754919147,0.4017941538445368,0.05392431060132851
2017-11-06,ET0202,ET0202071,2014-04-21,Drought,ET02,ET0202,ET020208,Somali,Fafan,Tog-Wajale,31,187,2014-04-21,0.1386750490563072,2017-09-04,-0.1647172818672541,-0.2271283812897489,accessibility lack of food,1.2442173938170624,0.2271283812897488,-1.0345590848279278,-0.3505443708465497,-3.323470256441984,-0.277913246099792,livelihood access services,0.1237968921180345,-1.9318754766140744,-0.5642764926868786,0.5410017808004591,-0.3298281535567591,-2.651471861118468,4,0.0,1232.0,ET02_ET0202_ET020208,ET02_ET0202_ET0202071,-0.9897138901498964,-1.867312955225464,-0.7722600223814998,0.0,-0.9897138901498972,-1.867312955225464,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,2017,11,6.032258064516129,4.74948196678,11679800110.0,527.875023616,12.180859149600002,77.55176156360001,44.28,58.220000000000006,17.3826305426,2.7009241106200004,0.8200000000000001,6.032258064516129,1295,1,,376767745.483871,62458824.11764706,14.502179412393202,0.010571000499417347,2.2778206609752,10.041777326610001,10.88714,0.7827132135531506,1,1,1,1,1,1,6,6,0.6666666666666666,1295,63,0.023938223938223938,11,0,1,0,1,4640,1.004291334902574,1.0,1.0,1.0,1.0,1.0,0.0,0.10308583295503088,0.4390423642657121,0.07466314664794448
2017-11-16,ET0202,ET020204,2016-02-15,Drought,ET02,ET0202,ET020204,Somali,Fafan,Tog-Wajale,150,900,2016-02-15,0.1386750490563072,2016-05-03,-0.1647172818672541,-0.2271283812897489,lack of food no livelihood,-0.8037180680557422,0.2271283812897488,-1.0345590848279278,-0.3505443708465497,0.3008903112828133,-0.277913246099792,Livelihood,0.1237968921180345,-1.9318754766140744,-0.5642764926868786,-1.848422751068236,-0.3298281535567591,-2.651471861118468,2,0.0,78.0,ET02_ET0202_ET020204,ET02_ET0202_ET020204,-0.9897138901498964,-2.926923090417643,1.2949006435891817,0.0,-0.9897138901498972,-2.9269230904176435,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,2017,11,6.0,4.74948196678,11679800110.0,527.875023616,12.180859149600002,77.55176156360001,44.28,58.220000000000006,17.3826305426,2.7009241106200004,0.8200000000000001,6.0,640,1,,77865334.06666666,12977555.677777778,69.79658540724002,0.06991842850008323,10.96277323464,10.041777326610001,52.39800000000001,0.7827132135531506,1,1,1,1,1,1,6,6,0.6666666666666666,640,562,0.234375,11,0,1,1,1,4640,0.9989207930046993,1.0,1.0,1.0,1.0,1.0,0.0,0.10308583295503088,0.46278133546597844,0.03889429477324047
2017-11-25,ET0205,ET020504,2016-01-02,Drought,ET02,ET0201,ET020106,Somali,Fafan,Tog-Wajale,47,280,2016-01-02,0.1386750490563072,2016-02-21,-0.1647172818672541,-0.2271283812897489,accessibility lack of food,1.2442173938170624,0.2271283812897488,-1.0345590848279278,-0.3505443708465497,-3.323470256441984,-0.277913246099792,livelihood access services,0.1237968921180345,-1.9318754766140744,-0.5642764926868786,0.5410017808004591,-0.3298281535567591,-2.651471861118468,1,0.0,50.0,ET02_ET0201_ET020106,ET02_ET0205_ET020504,-0.9897138901498964,-1.867312955225464,1.2949006435891817,0.0,-0.9897138901498972,-1.867312955225464,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,2017,11,5.957446808510638,4.74948196678,11679800110.0,527.875023616,12.180859149600002,77.55176156360001,44.28,58.220000000000006,17.3826305426,2.7009241106200004,0.8200000000000001,5.957446808510638,693,1,,248506385.31914893,41713571.821428575,21.714493237808,0.018311969369069425,3.4106405618880005,10.041777326610001,16.3016,0.7827132135531506,1,1,1,1,1,1,6,6,0.6666666666666666,693,643,0.06782106782106782,11,0,0,0,1,2657,0.9939863823865613,1.0,1.0,1.0,1.0,1.0,0.0,0.10308583295503088,0.44213875181357293,0.040236658569508345
2017-11-10,ET0201,ET020105,2016-04-23,Drought,ET02,ET0201,ET020105,Somali,Fafan,Tog-Wajale,230,1380,2016-04-23,0.1386750490563072,2016-05-09,-0.1647172818672541,-0.2271283812897489,accessibility lack of food no livelihood,1.2442173938170624,0.2271283812897488,-1.0345590848279278,-0.3505443708465497,0.3008903112828133,-0.277913246099792,livelihood access services livestock restocking,0.1237968921180345,-1.9318754766140744,-0.5642764926868786,0.5410017808004591,-0.3298281535567591,0.3771490147280578,4,0.0,16.0,ET02_ET0201_ET020105,ET02_ET0201_ET020105,0.0428616251639721,-0.8077028200332839,-0.7722600223814998,0.0,0.0428616251639715,-0.8077028200332839,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,2017,11,6.0,4.74948196678,11679800110.0,527.875023616,12.180859149600002,77.55176156360001,44.28,58.220000000000006,17.3826305426,2.7009241106200004,0.8200000000000001,6.0,566,1,,50781739.60869565,8463623.268115941,107.021430957768,0.10987181621441651,16.809585626448,10.041777326610001,80.34360000000001,0.7827132135531506,1,1,1,1,1,1,6,6,0.4999999999999999,566,550,0.40636042402826855,11,0,1,1,1,3716,1.0111693534327457,1.0,1.0,1.0,1.0,1.0,0.0,0.41285848754919147,0.42876269055171173,0.031868638588610484
2017-11-13,ET0202,ET020205,2016-12-06,Drought,ET02,ET0202,ET020205,Somali,Fafan,Tog-Wajale,62,374,2016-12-06,0.1386750490563072,2017-03-25,-0.1647172818672541,-0.2271283812897489,accessibility lack of food no livelihood,1.2442173938170624,0.2271283812897488,-1.0345590848279278,-0.3505443708465497,0.3008903112828133,-0.277913246099792,livelihood access services,0.1237968921180345,-1.9318754766140744,-0.5642764926868786,0.5410017808004591,-0.3298281535567591,-2.651471861118468,12,0.0,109.0,ET02_ET0202_ET020205,ET02_ET0202_ET020205,0.0428616251639721,-1.867312955225464,1.2949006435891817,0.0,0.0428616251639715,-1.867312955225464,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,2017,11,6.032258064516129,4.74948196678,11679800110.0,527.875023616,12.180859149600002,77.55176156360001,44.28,58.220000000000006,17.3826305426,2.7009241106200004,0.8200000000000001,6.032258064516129,342,1,,188383872.7419355,31229412.05882353,29.004358824786404,0.026136174463126355,4.5556413219504,10.041777326610001,21.77428,0.7827132135531506,1,1,1,1,1,1,6,6,0.4999999999999999,342,233,0.18128654970760233,11,0,1,1,1,4640,1.004291334902574,1.0,1.0,1.0,1.0,1.0,0.0,0.41285848754919147,0.3952684338511957,0.017752042597125272
2017-11-15,ET0202,ET020202,2016-08-06,Drought,ET02,ET0202,ET020202,Somali,Fafan,Tog-Wajale,84,504,2016-08-06,0.1386750490563072,2016-06-13,-0.1647172818672541,-0.2271283812897489,lack of food no livelihood,-0.8037180680557422,0.2271283812897488,-1.0345590848279278,-0.3505443708465497,0.3008903112828133,-0.277913246099792,livelihood access services livestock restocking,0.1237968921180345,-1.9318754766140744,-0.5642764926868786,0.5410017808004591,-0.3298281535567591,0.3771490147280578,8,0.0,0.0,ET02_ET0202_ET020202,ET02_ET0202_ET020202,-0.9897138901498964,-0.8077028200332839,-0.7722600223814998,0.0,-0.9897138901498972,-0.8077028200332839,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,2017,11,6.0,4.74948196678,11679800110.0,527.875023616,12.180859149600002,77.55176156360001,44.28,58.220000000000006,17.3826305426,2.7009241106200004,0.8200000000000001,6.0,466,1,,139045239.4047619,23174206.567460317,39.0860878280544,0.03695688363575828,6.139153011398401,10.041777326610001,29.342880000000005,0.7827132135531506,1,1,1,1,1,1,6,6,0.6666666666666666,466,520,0.18025751072961374,11,0,1,1,1,4640,0.9989207930046993,1.0,1.0,1.0,1.0,1.0,0.0,0.10308583295503088,0.44959671752024843,0.027513075556721705
2017-11-20,ET0202,ET020207,2015-02-03,Drought,ET02,ET0202,ET020207,Somali,Fafan,Tog-Wajale,207,1242,2015-02-03,0.1386750490563072,2015-07-03,-0.1647172818672541,-0.2271283812897489,accessibility lack of food,1.2442173938170624,0.2271283812897488,-1.0345590848279278,-0.3505443708465497,-3.323470256441984,-0.277913246099792,livelihood access services,0.1237968921180345,-1.9318754766140744,-0.5642764926868786,0.5410017808004591,-0.3298281535567591,-2.651471861118468,2,0.0,150.0,ET02_ET0202_ET020207,ET02_ET0202_ET020207,-0.9897138901498964,-1.867312955225464,1.2949006435891817,0.0,-0.9897138901498972,-1.867312955225464,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,2017,11,6.0,4.74948196678,11679800110.0,527.875023616,12.180859149600002,77.55176156360001,44.28,58.220000000000006,17.3826305426,2.7009241106200004,0.8200000000000001,6.0,1021,1,,56424155.12077295,9404025.853462158,96.31928786199121,0.09838521724654571,15.128627063803203,10.041777326610001,72.30924,0.7827132135531506,1,1,1,1,1,1,6,6,0.6666666666666666,1021,871,0.20274240940254654,11,0,1,1,1,4640,0.9989207930046993,1.0,1.0,1.0,1.0,1.0,0.0,0.10308583295503088,0.4741680509645635,0.06357525673471034
2017-11-20,ET0202,ET020207,2015-02-21,Drought,ET02,ET0202,ET020207,Somali,Fafan,Tog-Wajale,79,473,2015-02-21,0.1386750490563072,2016-05-06,-0.1647172818672541,-0.2271283812897489,accessibility lack of food no livelihood,1.2442173938170624,0.2271283812897488,-1.0345590848279278,-0.3505443708465497,0.3008903112828133,-0.277913246099792,Livelihood,0.1237968921180345,-1.9318754766140744,-0.5642764926868786,-1.848422751068236,-0.3298281535567591,-2.651471861118468,2,0.0,440.0,ET02_ET0202_ET020207,ET02_ET0202_ET020207,0.0428616251639721,-2.926923090417643,1.2949006435891817,0.0,0.0428616251639715,-2.9269230904176435,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,2017,11,5.987341772151899,4.74948196678,11679800110.0,527.875023616,12.180859149600002,77.55176156360001,44.28,58.220000000000006,17.3826305426,2.7009241106200004,0.8200000000000001,5.987341772151899,1003,1,,147845571.01265824,24693023.48837209,36.681983219582804,0.03437656067920759,5.761546377760801,10.041777326610001,27.53806,0.7827132135531506,1,1,1,1,1,1,6,6,0.4999999999999999,1003,563,0.07876370887337986,11,0,1,1,1,4640,0.996813365171356,1.0,1.0,1.0,1.0,1.0,0.0,0.41285848754919147,0.3985645883376282,0.05249642575215248
2017-11-22,ET0204,ET020403,2016-02-15,Drought,ET02,ET0204,ET020403,Somali,Fafan,Tog-Wajale,180,1079,2016-02-15,0.1386750490563072,2017-12-09,-0.1647172818672541,4.402796314232056,No,-0.8037180680557422,0.2271283812897488,0.9665953493282832,2.85270591447537,0.3008903112828133,-0.277913246099792,livelihood livestock restocking,0.1237968921180345,-1.9318754766140744,-0.5642764926868786,-1.848422751068236,-0.3298281535567591,0.3771490147280578,2,0.0,663.0,ET02_ET0204_ET020403,ET02_ET0204_ET020403,1.075437140477841,-1.867312955225464,1.2949006435891817,0.0,1.0754371404778398,-1.867312955225464,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,2017,11,5.9944444444444445,4.74948196678,11679800110.0,527.875023616,12.180859149600002,77.55176156360001,44.28,58.220000000000006,17.3826305426,2.7009241106200004,0.8200000000000001,5.9944444444444445,646,1,,64887778.38888889,10824652.557924004,83.67835072712441,0.08481771266855336,13.143147022418402,10.041777326610001,62.81938,0.7827132135531506,1,1,1,1,1,1,6,6,0.3333333333333333,646,-17,0.2786377708978328,11,0,1,1,1,1079,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.722631142143352,0.36874104913336647,0.03128124986738736
