Survey_Date,Zone_P_CODE,Woreda_P_CODE,Site_Open_Date,Displacement_Reason,Origin_Region,Origin_Zone,Origin_Woreda,Second_Origin_Region,Second_Origin_Zone,Second_Origin_Woreda,Total_Households,Total_Individuals,First_Arrival_Date,Last_Arrival_Known,Last_Arrival_Date,Previously_Displaced,Currently_Leaving,Has_Prevention_Factors,Prevention_Accessibility,Prevention_Food,Prevention_Housing,Prevention_Security,Prevention_Livelihood,Prevention_Infrastructure,Support_Needs,Need_Livelihood,Need_Land,Need_Documentation,Need_Services,Need_Security,Need_Livestock,Displacement_Month,Has_Different_Second_Origin,Displacement_Duration,Origin_Location,Current_Location,Total_Prevention_Factors,Total_Support_Needs,Is_Winter_Migration,Region_Change,Prevention_Factor_Ratio,Support_Need_Ratio,Displacement_Season_Fall,Displacement_Season_Spring,Displacement_Season_Summer,Displacement_Season_Winter,Preferred_Solution_Reintegration,Preferred_Solution_Relocation,Preferred_Solution_Return,Region_P_CODE_ET02,Region_P_CODE_ET03,Region_P_CODE_ET04,Region_P_CODE_ET05,Household_Size_Category_Very Small,Household_Size_Category_Small,Household_Size_Category_Medium,Household_Size_Category_Large,Household_Size_Category_Very Large,year,month,household_size,fdi_pct_gdp,gdp_usd,gdp_per_capita_usd,remittances_pct_gdp,trade_pct_gdp,adult_literacy_rate,youth_literacy_rate,primary_enrollment,secondary_enrollment,regional_weight
2017-11-07,ET0201,ET020102,2015-01-20,Drought,ET02,ET0201,ET020102,Afar,Awsi (Zone 1),Elidar,95,570,2015-01-20,0.1386750490563072,2015-05-02,-0.1647172818672541,-0.2271283812897489,accessibility lack of food no livelihood,1.2442173938170624,0.2271283812897488,-1.0345590848279278,-0.3505443708465497,0.3008903112828133,-0.277913246099792,livelihood access services livestock restocking,0.1237968921180345,-1.9318754766140744,-0.5642764926868786,0.5410017808004591,-0.3298281535567591,0.3771490147280578,1,0.0,102.0,ET02_ET0201_ET020102,ET02_ET0201_ET020102,0.0428616251639721,-0.8077028200332839,1.2949006435891817,0.0,0.0428616251639715,-0.8077028200332839,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,2017,11,6.0,4.74948196678,11679800110.0,527.875023616,12.180859149600002,77.55176156360001,44.28,58.220000000000006,17.3826305426,2.7009241106200004,0.8200000000000001
2017-11-06,ET0202,ET0202071,2014-04-21,Drought,ET02,ET0202,ET020208,Somali,Fafan,Tog-Wajale,31,187,2014-04-21,0.1386750490563072,2017-09-04,-0.1647172818672541,-0.2271283812897489,accessibility lack of food,1.2442173938170624,0.2271283812897488,-1.0345590848279278,-0.3505443708465497,-3.323470256441984,-0.277913246099792,livelihood access services,0.1237968921180345,-1.9318754766140744,-0.5642764926868786,0.5410017808004591,-0.3298281535567591,-2.651471861118468,4,0.0,1232.0,ET02_ET0202_ET020208,ET02_ET0202_ET0202071,-0.9897138901498964,-1.8673129552254637,-0.7722600223814998,0.0,-0.9897138901498972,-1.867312955225464,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,2017,11,6.032258064516129,4.74948196678,11679800110.0,527.875023616,12.180859149600002,77.55176156360001,44.28,58.220000000000006,17.3826305426,2.7009241106200004,0.8200000000000001
2017-11-16,ET0202,ET020204,2016-02-15,Drought,ET02,ET0202,ET020204,Somali,Fafan,Tog-Wajale,150,900,2016-02-15,0.1386750490563072,2016-05-03,-0.1647172818672541,-0.2271283812897489,lack of food no livelihood,-0.8037180680557422,0.2271283812897488,-1.0345590848279278,-0.3505443708465497,0.3008903112828133,-0.277913246099792,Livelihood,0.1237968921180345,-1.9318754766140744,-0.5642764926868786,-1.848422751068236,-0.3298281535567591,-2.651471861118468,2,0.0,78.0,ET02_ET0202_ET020204,ET02_ET0202_ET020204,-0.9897138901498964,-2.926923090417643,1.2949006435891817,0.0,-0.9897138901498972,-2.9269230904176435,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,2017,11,6.0,4.74948196678,11679800110.0,527.875023616,12.180859149600002,77.55176156360001,44.28,58.220000000000006,17.3826305426,2.7009241106200004,0.8200000000000001
2017-11-25,ET0205,ET020504,2016-01-02,Drought,ET02,ET0201,ET020106,Somali,Fafan,Tog-Wajale,47,280,2016-01-02,0.1386750490563072,2016-02-21,-0.1647172818672541,-0.2271283812897489,accessibility lack of food,1.2442173938170624,0.2271283812897488,-1.0345590848279278,-0.3505443708465497,-3.323470256441984,-0.277913246099792,livelihood access services,0.1237968921180345,-1.9318754766140744,-0.5642764926868786,0.5410017808004591,-0.3298281535567591,-2.651471861118468,1,0.0,50.0,ET02_ET0201_ET020106,ET02_ET0205_ET020504,-0.9897138901498964,-1.8673129552254637,1.2949006435891817,0.0,-0.9897138901498972,-1.867312955225464,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,2017,11,5.957446808510638,4.74948196678,11679800110.0,527.875023616,12.180859149600002,77.55176156360001,44.28,58.220000000000006,17.3826305426,2.7009241106200004,0.8200000000000001
2017-11-10,ET0201,ET020105,2016-04-23,Drought,ET02,ET0201,ET020105,Somali,Fafan,Tog-Wajale,230,1380,2016-04-23,0.1386750490563072,2016-05-09,-0.1647172818672541,-0.2271283812897489,accessibility lack of food no livelihood,1.2442173938170624,0.2271283812897488,-1.0345590848279278,-0.3505443708465497,0.3008903112828133,-0.277913246099792,livelihood access services livestock restocking,0.1237968921180345,-1.9318754766140744,-0.5642764926868786,0.5410017808004591,-0.3298281535567591,0.3771490147280578,4,0.0,16.0,ET02_ET0201_ET020105,ET02_ET0201_ET020105,0.0428616251639721,-0.8077028200332839,-0.7722600223814998,0.0,0.0428616251639715,-0.8077028200332839,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,2017,11,6.0,4.74948196678,11679800110.0,527.875023616,12.180859149600002,77.55176156360001,44.28,58.220000000000006,17.3826305426,2.7009241106200004,0.8200000000000001
2017-11-13,ET0202,ET020205,2016-12-06,Drought,ET02,ET0202,ET020205,Somali,Fafan,Tog-Wajale,62,374,2016-12-06,0.1386750490563072,2017-03-25,-0.1647172818672541,-0.2271283812897489,accessibility lack of food no livelihood,1.2442173938170624,0.2271283812897488,-1.0345590848279278,-0.3505443708465497,0.3008903112828133,-0.277913246099792,livelihood access services,0.1237968921180345,-1.9318754766140744,-0.5642764926868786,0.5410017808004591,-0.3298281535567591,-2.651471861118468,12,0.0,109.0,ET02_ET0202_ET020205,ET02_ET0202_ET020205,0.0428616251639721,-1.8673129552254637,1.2949006435891817,0.0,0.0428616251639715,-1.867312955225464,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,2017,11,6.032258064516129,4.74948196678,11679800110.0,527.875023616,12.180859149600002,77.55176156360001,44.28,58.220000000000006,17.3826305426,2.7009241106200004,0.8200000000000001
2017-11-15,ET0202,ET020202,2016-08-06,Drought,ET02,ET0202,ET020202,Somali,Fafan,Tog-Wajale,84,504,2016-08-06,0.1386750490563072,2016-06-13,-0.1647172818672541,-0.2271283812897489,lack of food no livelihood,-0.8037180680557422,0.2271283812897488,-1.0345590848279278,-0.3505443708465497,0.3008903112828133,-0.277913246099792,livelihood access services livestock restocking,0.1237968921180345,-1.9318754766140744,-0.5642764926868786,0.5410017808004591,-0.3298281535567591,0.3771490147280578,8,0.0,0.0,ET02_ET0202_ET020202,ET02_ET0202_ET020202,-0.9897138901498964,-0.8077028200332839,-0.7722600223814998,0.0,-0.9897138901498972,-0.8077028200332839,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,2017,11,6.0,4.74948196678,11679800110.0,527.875023616,12.180859149600002,77.55176156360001,44.28,58.220000000000006,17.3826305426,2.7009241106200004,0.8200000000000001
2017-11-20,ET0202,ET020207,2015-02-03,Drought,ET02,ET0202,ET020207,Somali,Fafan,Tog-Wajale,207,1242,2015-02-03,0.1386750490563072,2015-07-03,-0.1647172818672541,-0.2271283812897489,accessibility lack of food,1.2442173938170624,0.2271283812897488,-1.0345590848279278,-0.3505443708465497,-3.323470256441984,-0.277913246099792,livelihood access services,0.1237968921180345,-1.9318754766140744,-0.5642764926868786,0.5410017808004591,-0.3298281535567591,-2.651471861118468,2,0.0,150.0,ET02_ET0202_ET020207,ET02_ET0202_ET020207,-0.9897138901498964,-1.8673129552254637,1.2949006435891817,0.0,-0.9897138901498972,-1.867312955225464,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,2017,11,6.0,4.74948196678,11679800110.0,527.875023616,12.180859149600002,77.55176156360001,44.28,58.220000000000006,17.3826305426,2.7009241106200004,0.8200000000000001
2017-11-20,ET0202,ET020207,2015-02-21,Drought,ET02,ET0202,ET020207,Somali,Fafan,Tog-Wajale,79,473,2015-02-21,0.1386750490563072,2016-05-06,-0.1647172818672541,-0.2271283812897489,accessibility lack of food no livelihood,1.2442173938170624,0.2271283812897488,-1.0345590848279278,-0.3505443708465497,0.3008903112828133,-0.277913246099792,Livelihood,0.1237968921180345,-1.9318754766140744,-0.5642764926868786,-1.848422751068236,-0.3298281535567591,-2.651471861118468,2,0.0,440.0,ET02_ET0202_ET020207,ET02_ET0202_ET020207,0.0428616251639721,-2.926923090417643,1.2949006435891817,0.0,0.0428616251639715,-2.9269230904176435,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,2017,11,5.987341772151899,4.74948196678,11679800110.0,527.875023616,12.180859149600002,77.55176156360001,44.28,58.220000000000006,17.3826305426,2.7009241106200004,0.8200000000000001
2017-11-22,ET0204,ET020403,2016-02-15,Drought,ET02,ET0204,ET020403,Somali,Fafan,Tog-Wajale,180,1079,2016-02-15,0.1386750490563072,2017-12-09,-0.1647172818672541,4.402796314232056,No,-0.8037180680557422,0.2271283812897488,0.9665953493282832,2.85270591447537,0.3008903112828133,-0.277913246099792,livelihood livestock restocking,0.1237968921180345,-1.9318754766140744,-0.5642764926868786,-1.848422751068236,-0.3298281535567591,0.3771490147280578,2,0.0,663.0,ET02_ET0204_ET020403,ET02_ET0204_ET020403,1.075437140477841,-1.8673129552254637,1.2949006435891817,0.0,1.0754371404778398,-1.867312955225464,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,2017,11,5.9944444444444445,4.74948196678,11679800110.0,527.875023616,12.180859149600002,77.55176156360001,44.28,58.220000000000006,17.3826305426,2.7009241106200004,0.8200000000000001
